Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
2014-15,<a href = '/sets/14-15-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2013-14,<a href = '/sets/13-14-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/stephen-liu'>Stephen Liu</a>,,,,,,,
2013-14,<a href = '/sets/13-14-ccct'>CCCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2013-14,<a href = '/sets/13-14-collegiate-novice'>Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/andrew-hart'>Andrew Hart</a>,,,,,,,
2013-14,<a href = '/sets/13-14-delta-burke'>Delta Burke</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/chris-borglum'>Chris Borglum</a>,,,,,,,
2013-14,<a href = '/sets/13-14-dii-sct'>DII SCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2013-14,<a href = '/sets/13-14-mft'>MFT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/kurtis-droge'>Kurtis Droge</a><br><a href = '../players/will-nediger'>Will Nediger</a>,,,,,,,
2013-14,<a href = '/sets/13-14-mut'>MUT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/rob-carson'>Rob Carson</a>,,,,,,,
2013-14,<a href = '/sets/13-14-submit'>SUBMIT</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/brian-mcpeak'>Brian McPeak</a>,<a href = '../players/chris-manners'>Chris Manners</a> <i style = 'font-size:80%'>Literature</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/dan-puma'>Dan Puma</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/jordan-brownstein'>Jordan Brownstein</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/brian-mcpeak'>Brian McPeak</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/tanay-kothari'>Tanay Kothari</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/ankit-aggarwal'>Ankit Aggarwal</a> <i style = 'font-size:80%'>Beliefs</i><br><a href = '../players/sohan-vartak'>Sohan Vartak</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/ankit-aggarwal'>Ankit Aggarwal</a> <i style = 'font-size:80%'>Thought</i><br><a href = '../players/sohan-vartak'>Sohan Vartak</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/isaac-hirsch'>Isaac Hirsch</a> <i style = 'font-size:80%'>Other</i>
2013-14,<a href = '/sets/13-14-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/evan-adams'>Evan Adams</a>,<a href = '../players/will-nediger'>Will Nediger</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/carsten-gehring'>Carsten Gehring</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/adam-silverman'>Adam Silverman</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/ashvin-srivatsa'>Ashvin Srivatsa</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/evan-adams'>Evan Adams</a> <i style = 'font-size:80%'>Arts</i>,,<a href = '../players/evan-adams'>Evan Adams</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/will-nediger'>Will Nediger</a> <i style = 'font-size:80%'>Philosophy</i>,
2013-14,<a href = '/sets/13-14-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2013-14,<a href = '/sets/13-14-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2013-14,<a href = '/sets/13-14-penn-bowl'>Penn Bowl</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,,,,,,,
2013-14,<a href = '/sets/13-14-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/jerry-vinokurov'>Jerry Vinokurov</a>,,,,,,,
2013-14,<a href = '/sets/13-14-cane-ridge-revival'>Cane Ridge Revival</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/john-lawrence'>John Lawrence</a>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/marshall-steinbaum'>Marshall Steinbaum</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/gautam-kandlikar'>Gautam Kandlikar</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/matt-menard'>Matt Menard</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/seth-teitler'>Seth Teitler</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/matt-menard'>Matt Menard</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/seth-teitler'>Seth Teitler</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/marshall-steinbaum'>Marshall Steinbaum</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/marshall-steinbaum'>Marshall Steinbaum</a> <i style = 'font-size:80%'>Other</i>
2013-14,<a href = '/sets/13-14-chicago-open'>Chicago Open</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/andrew-hart'>Andrew Hart</a>,<a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/andrew-hart'>Andrew Hart</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/austin-brownlow'>Austin Brownlow</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/gaurav-kandlikar'>Gaurav Kandlikar</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/gautam-kandlikar'>Gautam Kandlikar</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/andrew-hart'>Andrew Hart</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/jacob-reed'>Jacob Reed</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/andrew-hart'>Andrew Hart</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/ike-jose'>Ike Jose</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/andrew-hart'>Andrew Hart</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/andrew-hart'>Andrew Hart</a> <i style = 'font-size:80%'>Other</i>
2013-14,<a href = '/sets/13-14-college-history-bowl'>College History Bowl</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-weiner'>Matt Weiner</a>,,,,,,,
2013-14,<a href = '/sets/13-14-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2012-13,<a href = '/sets/12-13-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/matt-bollinger'>Matt Bollinger</a>,<a href = '../players/diana-gerr'>Diana Gerr</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/daniel-hothem'>Daniel Hothem</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/jarret-greene'>Jarret Greene</a> <i style = 'font-size:80%'>American, World</i>","<a href = '../players/daniel-hothem'>Daniel Hothem</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/jasper-lee'>Jasper Lee</a> <i style = 'font-size:80%'>Biology, Chemistry</i>",<a href = '../players/jasper-lee'>Jasper Lee</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/jarret-greene'>Jarret Greene</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/stephen-liu'>Stephen Liu</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/jarret-greene'>Jarret Greene</a> <i style = 'font-size:80%'>Other</i>
2012-13,<a href = '/sets/12-13-ccct'>CCCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2012-13,<a href = '/sets/12-13-collegiate-novice'>Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/andrew-hart'>Andrew Hart</a>,,,,,,,
