Season,Set,Difficulty,Head Editor,Literature,History,Science,Arts,Beliefs,Thought,Other
2022-23,<a href = '/sets/22-23-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/arjun-nageswaran'>Arjun Nageswaran</a><br><a href = '../players/steven-liu'>Steven Liu</a>,"<a href = '../players/jim-fan'>Jim Fan</a> <i style = 'font-size:80%'>American, European</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>British, World</i>","<a href = '../players/daniel-ma'>Daniel Ma</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/dean-ah-now'>Dean Ah Now</a> <i style = 'font-size:80%'>World, European</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/june-yin'>June Yin</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Other</i>,"<a href = '../players/daniel-ma'>Daniel Ma</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/sean-farrell'>Sean Farrell</a> <i style = 'font-size:80%'>Visual, Other</i>","<a href = '../players/evan-knox'>Evan Knox</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/sean-farrell'>Sean Farrell</a> <i style = 'font-size:80%'>Religion, Mythology</i>",<a href = '../players/ned-tagtmeier'>Ned Tagtmeier</a> <i style = 'font-size:80%'>Thought</i>,"<a href = '../players/evan-knox'>Evan Knox</a> <i style = 'font-size:80%'>Current Events, Pop Culture</i><br><a href = '../players/walter-zhang'>Walter Zhang</a> <i style = 'font-size:80%'>Geography</i>"
2022-23,<a href = '/sets/22-23-canadian-novice'>Canadian Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/cormac-beirne'>Cormac Beirne</a><br><a href = '../players/sky-li'>Sky Li</a>,"<a href = '../players/max-gedajlovic'>Max Gedajlovic</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/wenying-wu'>Wenying Wu</a> <i style = 'font-size:80%'>American</i>",<a href = '../players/adrian-wong'>Adrian Wong</a> <i style = 'font-size:80%'>History</i><br><a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/ben-chapman'>Ben Chapman</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/aaron-dos-remedios'>Aaron Dos Remedios</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ben-chapman'>Ben Chapman</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/sky-li'>Sky Li</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/cormac-beirne'>Cormac Beirne</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/ian-dewan'>Ian Dewan</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/raymond-chen'>Raymond Chen</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/ian-chow'>Ian Chow</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-dii-sct'>DII SCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-naqt-collegiate-novice'>NAQT Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-acf-winter'>ACF Winter</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/joseph-krol'>Joseph Krol</a>,"<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/eve-fleisig'>Eve Fleisig</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/henry-goff'>Henry Goff</a> <i style = 'font-size:80%'>British, American</i>","Govind Prabhakar <i style = 'font-size:80%'>Other, World</i><br><a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>American, European</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/justin-zhang'>Justin Zhang</a> <i style = 'font-size:80%'>Chemistry</i>","<a href = '../players/ani-perumalla'>Ani Perumalla</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/eve-fleisig'>Eve Fleisig</a> <i style = 'font-size:80%'>Visual, Auditory</i>",<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/athena-kern'>Athena Kern</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/ani-perumalla'>Ani Perumalla</a> <i style = 'font-size:80%'>Geography, Other Academic</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>Current Events</i>"
2022-23,<a href = '/sets/22-23-arcadia'>ARCADIA</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/grant-peet'>Grant Peet</a>,"<a href = '../players/caroline-mao'>Caroline Mao</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/henry-goff'>Henry Goff</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/payton-schubel'>Payton Schubel</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, World, Other</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Other</i>",<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/jim-fan'>Jim Fan</a> <i style = 'font-size:80%'>Physics</i><br><a href = '../players/justin-zhang'>Justin Zhang</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/vincent-du'>Vincent Du</a> <i style = 'font-size:80%'>Other</i>,"<a href = '../players/eric-gunter'>Eric Gunter</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Visual, Other</i><br><a href = '../players/jacob-egol'>Jacob Egol</a> <i style = 'font-size:80%'>Auditory</i>",<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Beliefs</i><br><a href = '../players/jacob-egol'>Jacob Egol</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/kevin-thomas'>Kevin Thomas</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/ashish-subramanian'>Ashish Subramanian</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/jonathan-shauf'>Jonathan Shauf</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/kevin-jiang'>Kevin Jiang</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/michael-bucknall'>Michael Bucknall</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/ashish-subramanian'>Ashish Subramanian</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-cplusplus'>C++</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/amogh-kulkarni'>Amogh Kulkarni</a><br><a href = '../players/raymond-wang'>Raymond Wang</a>,"<a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/raymond-wang'>Raymond Wang</a> <i style = 'font-size:80%'>European, British</i>",<a href = '../players/dennis-beeby'>Dennis Beeby</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/allan-lee'>Allan Lee</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/dan-ni'>Dan Ni</a> <i style = 'font-size:80%'>Chemistry, Other</i><br><a href = '../players/geoffrey-wu'>Geoffrey Wu</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/raymond-wang'>Raymond Wang</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/william-groger'>William Groger</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/geoffrey-chen'>Geoffrey Chen</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/nathan-zhang'>Nathan Zhang</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/benjamin-mcavoy-bickford'>Benjamin McAvoy-Bickford</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-mrna-ii'>MRNA II</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a>,<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>World</i><br><a href = '../players/henry-atkins'>Henry Atkins</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>European, World, Other</i>","<a href = '../players/david-bass'>David Bass</a> <i style = 'font-size:80%'>Physics, Other</i><br><a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Chemistry, Other</i>","<a href = '../players/chandler-west'>Chandler West</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Auditory, Other</i>",<a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-acf-regionals'>ACF Regionals</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/nick-jensen'>Nick Jensen</a>,"<a href = '../players/alexandra-hardwick'>Alexandra Hardwick</a> <i style = 'font-size:80%'>European, World</i><br><a href = '../players/rahul-keyal'>Rahul Keyal</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>British</i>","<a href = '../players/allan-lee'>Allan Lee</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/graham-reid'>Graham Reid</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Other</i>","<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/kevin-park'>Kevin Park</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/rahul-keyal'>Rahul Keyal</a> <i style = 'font-size:80%'>Visual</i>",<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/alexandra-hardwick'>Alexandra Hardwick</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-di-sct'>DI SCT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-dii-ict'>DII ICT</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2022-23,<a href = '/sets/22-23-penn-bowl'>Penn Bowl</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/taylor-harvey'>Taylor Harvey</a>,"<a href = '../players/darren-petrosino'>Darren Petrosino</a> <i style = 'font-size:80%'>American</i><br><a href = '../players/justine-french'>Justine French</a> <i style = 'font-size:80%'>British, World</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/leo-law'>Leo Law</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/tracy-mirkin'>Tracy Mirkin</a> <i style = 'font-size:80%'>Auditory, Visual</i>",<a href = '../players/gerhardt-hinkle'>Gerhardt Hinkle</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/jj-tsai'>JJ Tsai</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/erik-christensen'>Erik Christensen</a> <i style = 'font-size:80%'>Thought</i>,"<a href = '../players/ani-perumalla'>Ani Perumalla</a> <i style = 'font-size:80%'>Geography, Other Academic</i><br><a href = '../players/emmett-laurie'>Emmett Laurie</a> <i style = 'font-size:80%'>Current Events, Pop Culture</i>"
2022-23,<a href = '/sets/22-23-ug-champs'>UG Champs</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/john-lawrence'>John Lawrence</a>,<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/emmett-laurie'>Emmett Laurie</a> <i style = 'font-size:80%'>History</i>,"<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Physics, Other</i><br><a href = '../players/evan-lynch'>Evan Lynch</a> <i style = 'font-size:80%'>Chemistry</i>","<a href = '../players/john-lawrence'>John Lawrence</a> <i style = 'font-size:80%'>Auditory, Other</i><br><a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Visual, Other</i>",<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Social Science</i>,
2022-23,<a href = '/sets/22-23-winter-closed'>Winter Closed</a>,<div class = 'diffdots regionals-diff'>&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/tejas-raje'>Tejas Raje</a><br><a href = '../players/tim-morrison'>Tim Morrison</a>,<a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>American, European</i><br><a href = '../players/tejas-raje'>Tejas Raje</a> <i style = 'font-size:80%'>World, Other</i>","<a href = '../players/itamar-naveh-benjamin'>Itamar Naveh-Benjamin</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/jonathen-settle'>Jonathen Settle</a> <i style = 'font-size:80%'>Chemistry, Physics, Other</i><br><a href = '../players/tim-morrison'>Tim Morrison</a> <i style = 'font-size:80%'>Other</i>",<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/hari-parameswaran'>Hari Parameswaran</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/william-golden'>William Golden</a> <i style = 'font-size:80%'>Other</i>,<a href = '../players/annabelle-yang'>Annabelle Yang</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/jon-suh'>Jon Suh</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/justine-french'>Justine French</a> <i style = 'font-size:80%'>Philosophy</i>,<a href = '../players/tejas-raje'>Tejas Raje</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-acf-nationals'>ACF Nationals</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/taylor-harvey'>Taylor Harvey</a>,"<a href = '../players/caroline-mao'>Caroline Mao</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/will-nediger'>Will Nediger</a> <i style = 'font-size:80%'>British</i><br><a href = '../players/william-golden'>William Golden</a> <i style = 'font-size:80%'>European</i>","<a href = '../players/grant-peet'>Grant Peet</a> <i style = 'font-size:80%'>American, World</i><br><a href = '../players/michael-kearney'>Michael Kearney</a> <i style = 'font-size:80%'>European, Other</i>","<a href = '../players/adam-silverman'>Adam Silverman</a> <i style = 'font-size:80%'>Chemistry</i><br><a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Biology</i><br><a href = '../players/jonathen-settle'>Jonathen Settle</a> <i style = 'font-size:80%'>Physics, Other</i>",<a href = '../players/sameer-apte'>Sameer Apte</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Visual</i><br><a href = '../players/william-golden'>William Golden</a> <i style = 'font-size:80%'>Other</i>,<a href = '../players/hasna-karim'>Hasna Karim</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/taylor-harvey'>Taylor Harvey</a> <i style = 'font-size:80%'>Beliefs</i>,"<a href = '../players/will-nediger'>Will Nediger</a> <i style = 'font-size:80%'>Philosophy, Social Science</i>",<a href = '../players/ganon-evans'>Ganon Evans</a> <i style = 'font-size:80%'>Other</i>
2022-23,<a href = '/sets/22-23-bhsu'>BHSU</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/matt-bollinger'>Matt Bollinger</a><br><a href = '../players/rob-carson'>Rob Carson</a>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Literature</i>,"<a href = '../players/dylan-minarik'>Dylan Minarik</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/tejas-raje'>Tejas Raje</a> <i style = 'font-size:80%'>American, World</i>",<a href = '../players/billy-busse'>Billy Busse</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/dylan-minarik'>Dylan Minarik</a> <i style = 'font-size:80%'>Other</i>,<a href = '../players/aseem-keyal'>Aseem Keyal</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/dylan-minarik'>Dylan Minarik</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/rob-carson'>Rob Carson</a> <i style = 'font-size:80%'>Visual</i>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/matt-bollinger'>Matt Bollinger</a> <i style = 'font-size:80%'>Philosophy</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/auroni-gupta'>Auroni Gupta</a> <i style = 'font-size:80%'>Other Academic</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Geography</i><br><a href = '../players/tejas-raje'>Tejas Raje</a> <i style = 'font-size:80%'>Current Events</i>
2022-23,<a href = '/sets/22-23-cmst-ii'>CMST II</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,<a href = '../players/john-marvin'>John Marvin</a>,<a href = '../players/wonyoung-jang'>Wonyoung Jang</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/jason-golfinos'>Jason Golfinos</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/adam-fine'>Adam Fine</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/clark-smith'>Clark Smith</a> <i style = 'font-size:80%'>Arts</i><br><a href = '../players/john-marvin'>John Marvin</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/john-marvin'>John Marvin</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/clark-smith'>Clark Smith</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/john-marvin'>John Marvin</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/john-marvin'>John Marvin</a> <i style = 'font-size:80%'>Geography</i>
2022-23,<a href = '/sets/22-23-di-ict'>DI ICT</a>,<div class = 'diffdots nationals-diff'>&#x25CF;&#x25CF;&#x25CF;&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-acf-fall'>ACF Fall</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/katherine-lei'>Katherine Lei</a>,<a href = '../players/mitch-mccullar'>Mitch McCullar</a> <i style = 'font-size:80%'>Literature</i>,Govind Prabhakar <i style = 'font-size:80%'>History</i>,<a href = '../players/karan-gurazada'>Karan Gurazada</a> <i style = 'font-size:80%'>Science</i>,<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Arts</i>,<a href = '../players/justin-duffy'>Justin Duffy</a> <i style = 'font-size:80%'>Mythology</i><br><a href = '../players/ned-tagtmeier'>Ned Tagtmeier</a> <i style = 'font-size:80%'>Religion</i>,<a href = '../players/ned-tagtmeier'>Ned Tagtmeier</a> <i style = 'font-size:80%'>Thought</i>,<a href = '../players/ethan-strombeck'>Ethan Strombeck</a> <i style = 'font-size:80%'>Current Events</i><br><a href = '../players/sarah-benner'>Sarah Benner</a> <i style = 'font-size:80%'>Pop Culture</i>
2021-22,<a href = '/sets/21-22-boilermaker-spring-novice'>Boilermaker Spring Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,<a href = '../players/lalit-maharjan'>Lalit Maharjan</a><br><a href = '../players/quynh-phung'>Quynh Phung</a><br><a href = '../players/sarah-benner'>Sarah Benner</a>,<a href = '../players/payton-schubel'>Payton Schubel</a> <i style = 'font-size:80%'>Literature</i>,<a href = '../players/daniel-cronin'>Daniel Cronin</a> <i style = 'font-size:80%'>History</i>,<a href = '../players/david-bass'>David Bass</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/jim-fan'>Jim Fan</a> <i style = 'font-size:80%'>Science</i><br><a href = '../players/matt-schiavone'>Matt Schiavone</a> <i style = 'font-size:80%'>Chemistry</i>,<a href = '../players/daniel-cronin'>Daniel Cronin</a> <i style = 'font-size:80%'>Visual</i>,<a href = '../players/matt-schiavone'>Matt Schiavone</a> <i style = 'font-size:80%'>Beliefs</i>,<a href = '../players/kevin-jiang'>Kevin Jiang</a> <i style = 'font-size:80%'>Thought</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Social Science</i>,<a href = '../players/kevin-jiang'>Kevin Jiang</a> <i style = 'font-size:80%'>Pop Culture</i><br><a href = '../players/ryan-rosenberg'>Ryan Rosenberg</a> <i style = 'font-size:80%'>Pop Culture</i>
2021-22,<a href = '/sets/21-22-dii-sct'>DII SCT</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-naqt-collegiate-novice'>NAQT Collegiate Novice</a>,<div class = 'diffdots easy-diff'>&#x25CF;</div>,NAQT,,,,,,,
2021-22,<a href = '/sets/21-22-acf-winter'>ACF Winter</a>,<div class = 'diffdots medium-diff'>&#x25CF;&#x25CF;</div>,<a href = '../players/tim-morrison'>Tim Morrison</a>,"<a href = '../players/angela-lin'>Angela Lin</a> <i style = 'font-size:80%'>American, British</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>European</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>World</i>","<a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>American, European, Other</i><br><a href = '../players/vikshar-athreya'>Vikshar Athreya</a> <i style = 'font-size:80%'>World</i>","<a href = '../players/eric-mukherjee'>Eric Mukherjee</a> <i style = 'font-size:80%'>Biology, Chemistry</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Other</i><br><a href = '../players/steven-liu'>Steven Liu</a> <i style = 'font-size:80%'>Physics, Other</i>","<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Auditory</i><br><a href = '../players/joseph-krol'>Joseph Krol</a> <i style = 'font-size:80%'>Visual, Other</i>",<a href = '../players/benjamin-mcavoy-bickford'>Benjamin McAvoy-Bickford</a> <i style = 'font-size:80%'>Religion</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Mythology</i>,<a href = '../players/chris-sims'>Chris Sims</a> <i style = 'font-size:80%'>Social Science</i><br><a href = '../players/ethan-ashbrook'>Ethan Ashbrook</a> <i style = 'font-size:80%'>Philosophy</i>,"<a href = '../players/benjamin-mcavoy-bickford'>Benjamin McAvoy-Bickford</a> <i style = 'font-size:80%'>Geography, Current Events</i><br><a href = '../players/nick-jensen'>Nick Jensen</a> <i style = 'font-size:80%'>Other Academic</i>"
